Pid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 325, 10, -4000, FULL_HOUSE, 5, NORMAL
2222, 0, 15, 6, -4000, FULL_HOUSE, 7, NORMAL
3333, 0, 2, 2, -4000, ONE_PAIR, 8, NORMAL
4444, 0, 368, 7, -4000, FLUSH, 4, NORMAL
5555, 20, 502, 13, -3980, FULL_HOUSE, 2, NORMAL
6666, 0, 169, 6, -4000, TWO_PAIR, 6, NORMAL
7777, 20, 459, 5, -3980, FULL_HOUSE, 3, NORMAL
8888, 16140, 502, 7, 12140, FULL_HOUSE, 1, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 2, 2, -4000, THREE_OF_A_KIND, 6, NORMAL
2222, 0, 2, 2, -4000, ONE_PAIR, 6, NORMAL
3333, 20, 334, 0, -3980, NULL, 2, NORMAL
4444, 0, 10, 10, -4000, FULL_HOUSE, 4, NORMAL
5555, 0, 2, 2, -4000, TWO_PAIR, 6, NORMAL
6666, 0, 68, 15, -4000, FLUSH, 3, NORMAL
7777, 0, 3, 2, -4000, ONE_PAIR, 5, NORMAL
8888, 27380, 334, 6, 23380, THREE_OF_A_KIND, 1, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 2, 2, -4000, TWO_PAIR, 7, NORMAL
2222, 27620, 301, 10, 23620, FLUSH, 1, NORMAL
3333, 0, 7, 7, -4000, STRAIGHT, 5, NORMAL
4444, 0, 2, 2, -4000, ONE_PAIR, 7, NORMAL
5555, 0, 22, 11, -4000, TWO_PAIR, 4, NORMAL
6666, 0, 301, 10, -4000, THREE_OF_A_KIND, 2, NORMAL
7777, 0, 4, 2, -4000, ONE_PAIR, 6, NORMAL
8888, 0, 25, 3, -4000, STRAIGHT, 3, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 53, 2, -4000, TWO_PAIR, 5, NORMAL
2222, 0, 7, 2, -4000, ONE_PAIR, 7, NORMAL
3333, 20, 372, 0, -3980, NULL, 2, NORMAL
4444, 0, 2, 2, -4000, ONE_PAIR, 8, NORMAL
